,city,pop,ctry_code
0,Szczecin,407811.0,PL
1,Zenica,164423.0,BA
2,Gdansk,461865.0,PL
3,Manchester,395515.0,GB
4,Kazan,1104738.0,RU
5,Málaga,568305.0,ES
6,Gdańsk,470633.0,PL
7,Nice,338620.0,FR
8,Chisinau,635994.0,MD
9,Budapest,1741041.0,HU
10,Berlin,3426354.0,DE
11,Bergen,213585.0,NO
12,Catania,290927.0,IT
13,Oslo,580000.0,NO
14,Ruse,156238.0,BG
15,Sevastopol,464349.0,UA
16,Tirana,374801.0,AL
17,Thessaloniki,354290.0,GR
18,Geneve,183981.0,CH
19,Favoriten,201882.0,AT
20,Riga,742572.0,LV
21,The Hague,474292.0,NL
22,Luhansk,452000.0,UA
23,Frankfurt,650000.0,DE
24,Sofia,1152556.0,BG
25,Graz,222326.0,AT
26,Sarajevo,696731.0,BA
27,Piraeus,163688.0,GR
28,Mineralnye Vody,76728.0,RU
29,Rostov-on-Don,1138000.0,RU
30,Naples,959470.0,IT
31,Zagreb,698966.0,HR
32,Espoo,256760.0,FI
33,London,8961989.0,GB
34,Dubrovnik,41671.0,HR
35,Lviv,717803.0,UA
36,Baranovichi,168772.0,BY
37,Rotterdam,598199.0,NL
38,Rhodes,117000.0,GR
39,Düsseldorf,573057.0,DE
40,Burgas,195966.0,BG
41,Venice,258685.0,US
42,Kharkiv,1430885.0,UA
43,Saint Petersburg,5028000.0,RU
44,Kaliningrad,434954.0,RU
45,Pristina,218782.0,XK
46,Tiraspol,157000.0,MD
47,Prague,1165581.0,CZ
48,Ostrava,313088.0,CZ
49,Madrid,3255944.0,ES
50,Hamburg,1739117.0,DE
51,Cologne,963395.0,DE
52,Vilnius,542366.0,LT
53,Milan,1236837.0,IT
54,Banja Luka,221106.0,BA
55,Klaipeda,192307.0,LT
56,Paris,2138551.0,FR
57,Anderlecht,160553.0,BE
58,Munich,1260391.0,DE
59,Simferopol,336460.0,UA
60,Warsaw,1702139.0,PL
61,Toulouse,433055.0,FR
62,Utrecht,290529.0,NL
63,Istanbul,15840900.0,TR
64,Ibiza,159000.0,ES
65,Barcelona,1621537.0,ES
66,Reykjavik,134602.0,IS
67,Goeteborg,572799.0,SE
68,Bordeaux,231844.0,FR
69,Donetsk,1024700.0,UA
70,Kaunas,374643.0,LT
71,Turin,870456.0,IT
72,Skopje,474889.0,MK
73,Zurich,341730.0,CH
74,Nis,250000.0,FR
75,Alicante,334757.0,ES
76,Szeged,164883.0,HU
77,Zaporizhzhya,738728.0,UA
78,Zürich,1420000.0,CH
79,Floridsdorf,162779.0,AT
80,Amadora,178858.0,PT
81,Mykolayiv,483186.0,UA
82,Hrodna,317365.0,BY
83,Stuttgart,589793.0,DE
84,Olbia,60346.0,IT
85,Rome,2318895.0,US
86,Mariupol,431859.0,UA
87,Brest,300715.0,BY
88,Marseille,794811.0,FR
89,Kosice,236563.0,SK
90,Belgrade,1273651.0,RS
91,Helsinki,558457.0,FI
92,Donaustadt,187007.0,AT
93,Belfast,274770.0,GB
94,Faro,67566.0,PT
95,Antalya,2619832.0,TR
96,Miskolc,172637.0,HU
97,Dublin,1024027.0,US
98,Split,176314.0,HR
99,Florence,349296.0,IT
100,Moscow,10381222.0,RU
101,Anapa,94340.0,RU
102,Mugla,1021141.0,TR
103,Copenhagen,1153615.0,DK
104,Vitebsk,342700.0,BY
105,Krakow,755050.0,PL
106,Linz,204846.0,AT
107,Wroclaw,634893.0,PL
108,Basel,164488.0,CH
109,Lisbon,517802.0,PT
110,Bilbao,354860.0,ES
111,Poznan,570352.0,PL
112,Nantes,277269.0,FR
113,Porto,249633.0,PT
114,Samara,1134730.0,RU
115,Ufa,1033338.0,RU
116,Palma de Mallorca,472000.0,ES
117,Pecs,156649.0,HU
118,Bologna,366133.0,IT
119,Lodz,768755.0,PL
120,Amsterdam,741636.0,NL
121,Charleroi,200132.0,BE
122,Liege,182597.0,BE
123,Minsk,1742124.0,BY
124,Bratislava,423737.0,SK
125,Brussels,1019022.0,BE
126,Lyon,472317.0,FR
127,Krasnodar,649851.0,RU
128,Antwerpen,459805.0,BE
129,Birmingham,984333.0,US
130,Novi Sad,215400.0,RS
131,Bristol,617280.0,US
132,Podgorica,236852.0,ME
133,Turku,175945.0,FI
134,Cork,190384.0,IE
135,Palermo,648260.0,IT
136,Nicosia,200452.0,CY
137,Malmoe,301706.0,SE
138,Debrecen,204124.0,HU
139,Vienna,1691468.0,AT
140,Homyel',480951.0,BY
141,Geneva,626618.0,US
142,Heraklion,225500.0,GR
143,Patra,168034.0,GR
144,Pilsen,164180.0,CZ
145,Babruysk,220517.0,BY
146,Edinburgh,464990.0,GB
147,Mahilyow,369200.0,BY
148,Athens,664046.0,GR
149,Brno,369559.0,CZ
150,Cagliari,476975.0,IT
151,Dnipro,998103.0,UA
152,Bruges,118467.0,BE
153,Seville,1519639.0,ES
154,Stockholm,1515017.0,SE
155,Kyiv,2797553.0,UA
156,Varna,312770.0,BG
157,Ljubljana,272220.0,SI
158,Eindhoven,209620.0,NL
159,Tampere,202687.0,FI
160,Odessa,1013159.0,UA
161,Glasgow,591620.0,GB
162,Malta,516100.0,US
163,Gent,231493.0,BE
164,Keflavík,20298.0,IS
165,Trondheim,279234.0,NO
166,Valencia,814208.0,ES
167,Plovdiv,340494.0,BG
168,Kryvyy Rih,624579.0,UA
169,Corfu,111113.0,GR
170,Arhus,237551.0,DK
171,Tallinn,394024.0,EE
172,Vantaa,190058.0,FI
